"codele";"codtse";"data";"hora";"apuracao";"turno";"fase";"ncand";"nome";"partido";"votabs";"votpor";"situacao";"cargo";"codibge";"uf";"regiao";"compilado"
"426";"07633";"15/11/2020";"21:58:36";" 100,00";"1";"o";"36";"CABO BEZERRA";"PTC";"1004";"   1,87";"Não eleito";"prefeito";"2103307";"MA";"NE";2020-11-16 17:49:55
"426";"07633";"15/11/2020";"21:58:36";" 100,00";"1";"o";"12";"ZITO ROLIM";"PDT - PP / PTB / PROS / PDT / DEM / SOLIDARIEDADE / CIDADANIA / REDE / PSL / PSB / PC do B";"24318";"  45,32";"Não eleito";"prefeito";"2103307";"MA";"NE";2020-11-16 17:49:55
"426";"07641";"15/11/2020";"22:05:40";" 100,00";"1";"o";"22";"ROBERTO DO POSTO";"PL - PL / AVANTE";"3423";"  57,58";"Eleito";"prefeito";"2104651";"MA";"NE";2020-11-16 17:49:55
"426";"07641";"15/11/2020";"22:05:40";" 100,00";"1";"o";"15";"DOUGLAS BRANDÃO";"MDB";"261";"   4,39";"Não eleito";"prefeito";"2104651";"MA";"NE";2020-11-16 17:49:55
"426";"07641";"15/11/2020";"22:05:40";" 100,00";"1";"o";"20";"BARROSINHO";"PSC - PSC / PODE";"2261";"  38,03";"Não eleito";"prefeito";"2104651";"MA";"NE";2020-11-16 17:49:55
"426";"07650";"15/11/2020";"21:39:47";" 100,00";"1";"o";"11";"BRUNO SILVA";"PP - PSL / PROS / PP / MDB";"13795";"  58,52";"Eleito";"prefeito";"2103406";"MA";"NE";2020-11-16 17:49:55
"426";"07650";"15/11/2020";"21:39:47";" 100,00";"1";"o";"13";"AMÉRICO";"PT - PT / PDT / PSB / PC do B";"6397";"  27,13";"Não eleito";"prefeito";"2103406";"MA";"NE";2020-11-16 17:49:55
"426";"07650";"15/11/2020";"21:39:47";" 100,00";"1";"o";"27";"VAL CARA LEGAL";"DC";"0";"00.00";"Não eleito";"prefeito";"2103406";"MA";"NE";2020-11-16 17:49:55
"426";"07650";"15/11/2020";"21:39:47";" 100,00";"1";"o";"35";"ILSON BAIANO";"PMB - PRTB / PMB";"171";"   0,73";"Não eleito";"prefeito";"2103406";"MA";"NE";2020-11-16 17:49:55
"426";"07650";"15/11/2020";"21:39:47";" 100,00";"1";"o";"22";"ANTONIO PIRES";"PL - PL / CIDADANIA / DEM";"3212";"  13,62";"Não eleito";"prefeito";"2103406";"MA";"NE";2020-11-16 17:49:55
"426";"07668";"15/11/2020";"23:47:02";" 100,00";"1";"o";"22";"FERNANDO PL";"PL - PL / AVANTE / PATRIOTA / MDB";"5256";"  38,82";"Não eleito";"prefeito";"2104677";"MA";"NE";2020-11-16 17:49:55
"426";"07668";"15/11/2020";"23:47:02";" 100,00";"1";"o";"36";"IRMAO CARLOS";"PTC";"54";"   0,40";"Não eleito";"prefeito";"2104677";"MA";"NE";2020-11-16 17:49:55
"426";"07668";"15/11/2020";"23:47:02";" 100,00";"1";"o";"77";"DRA REGINA";"SOLIDARIEDADE";"94";"   0,69";"Não eleito";"prefeito";"2104677";"MA";"NE";2020-11-16 17:49:55
"426";"07668";"15/11/2020";"23:47:02";" 100,00";"1";"o";"27";"DOUTOR HAROLDO";"DC";"208";"   1,54";"Não eleito";"prefeito";"2104677";"MA";"NE";2020-11-16 17:49:55
"426";"07668";"15/11/2020";"23:47:02";" 100,00";"1";"o";"50";"JONAS DO BACURI";"PSOL";"79";"   0,58";"Não eleito";"prefeito";"2104677";"MA";"NE";2020-11-16 17:49:55
"426";"07668";"15/11/2020";"23:47:02";" 100,00";"1";"o";"40";"JOSIMAR DA SERRARIA";"PSB - PT / PDT / PSB / PV / PSDB";"7849";"  57,97";"Eleito";"prefeito";"2104677";"MA";"NE";2020-11-16 17:49:55
"426";"07676";"15/11/2020";"22:50:14";" 100,00";"1";"o";"28";"VINICIUS";"PRTB";"105";"   0,53";"Não eleito";"prefeito";"2103505";"MA";"NE";2020-11-16 17:49:55
"426";"07676";"15/11/2020";"22:50:14";" 100,00";"1";"o";"20";"DR ANTONIO CARLOS";"PSC - PTB / PSC / PSDB / PSD";"8759";"  43,88";"Não eleito";"prefeito";"2103505";"MA";"NE";2020-11-16 17:49:55
"426";"07676";"15/11/2020";"22:50:14";" 100,00";"1";"o";"10";"VALMIRA MIRANDA";"REPUBLICANOS - REPUBLICANOS / CIDADANIA / PC do B / PP / MDB / PSL / PT";"11097";"  55,59";"Eleito";"prefeito";"2103505";"MA";"NE";2020-11-16 17:49:55
"426";"07684";"15/11/2020";"22:20:16";" 100,00";"1";"o";"22";"ALMEIDA";"PL - PL / AVANTE";"5463";"  62,04";"Eleito";"prefeito";"2105153";"MA";"NE";2020-11-16 17:49:55
"426";"07684";"15/11/2020";"22:20:16";" 100,00";"1";"o";"10";"VALDEREZ";"REPUBLICANOS - REPUBLICANOS / PSC";"3343";"  37,96";"Não eleito";"prefeito";"2105153";"MA";"NE";2020-11-16 17:49:55
